EntiteFinanciereProgramme;NomenclatureComptable;DEPENSES_RECETTES;INVESTISSEMENT_FONCTIONNEMENT;CodeChapitre;LibelleChapitre;CodeArticle;LibelleArticle;CodePresentationCroisee;LibellePresentationCroisee;ORDRE_REEL;MontantRealise
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;61558;Entretien et reparations - Autres biens mobiliers;847;Equipements de voirie;Reel;95378.57
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6156;Entretien et reparations - Maintenance;20;Administration generale de la collectivite;Reel;3593925.7
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6156;Entretien et reparations - Maintenance;821;Transport sur route;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6156;Entretien et reparations - Maintenance;847;Equipements de voirie;Reel;296390.71
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6161;Assurance Multirisque;325;Autres equipements sportifs ou de loisirs;Reel;13820.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;617;Etudes et recherches;312;Patrimoine;Reel;7860.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;617;Etudes et recherches;420;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;617;Etudes et recherches;515;Operations d amenagement;Reel;187485.22
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;617;Etudes et recherches;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6182;Divers - Documentation generale et technique;311;Activites artistiques, actions et manifestations culturelles;Reel;2286.83
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6185;Divers - Frais de colloques et seminaires;50;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6185;Divers - Frais de colloques et seminaires;515;Operations d amenagement;Reel;14248.5
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6188;Divers - Autres frais divers;20;Administration generale de la collectivite;Reel;11778.36
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6188;Divers - Autres frais divers;50;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;62268;Remunerations d intermediaires et honoraires - Autres honoraires, conseils...;20;Administration generale de la collectivite;Reel;37738.85
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6228;Remunerations d intermediaires et honoraires - Divers;22;Information, communication, publicite;Reel;20027.8
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6228;Remunerations d intermediaires et honoraires - Divers;325;Autres equipements sportifs ou de loisirs;Reel;36.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6228;Remunerations d intermediaires et honoraires - Divers;428;Autres interventions sociales;Reel;61419.31
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6231;Publicite, publications, relations publiques - Annonces et insertions;311;Activites artistiques, actions et manifestations culturelles;Reel;220199.86
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6231;Publicite, publications, relations publiques - Annonces et insertions;515;Operations d amenagement;Reel;15572.41
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6231;Publicite, publications, relations publiques - Annonces et insertions;844;Voirie metropolitaine;Reel;2128.53
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6232;Publicite, publications, relations publiques - Faªtes et ceremonies;311;Activites artistiques, actions et manifestations culturelles;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6233;Publicite, publications, relations publiques - Foires et expositions;61;Interventions economiques transversales;Reel;18500.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6234;Publicite, publications, relations publiques - Receptions;312;Patrimoine;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6234;Publicite, publications, relations publiques - Receptions;325;Autres equipements sportifs ou de loisirs;Reel;2220.9
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6234;Publicite, publications, relations publiques - Receptions;420;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6236;Publicite, publications, relations publiques - Catalogues et imprimes et publications;20;Administration generale de la collectivite;Reel;14407.15
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6236;Publicite, publications, relations publiques - Catalogues et imprimes et publications;32;Conseil economique et social regional ou Conseil de developpement;Reel;6422.4
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6236;Publicite, publications, relations publiques - Catalogues et imprimes et publications;50;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6236;Publicite, publications, relations publiques - Catalogues et imprimes et publications;511;Espaces verts urbains;Reel;820.8
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6238;Publicite, publications, relations publiques - Divers;22;Information, communication, publicite;Reel;177744.5
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6238;Publicite, publications, relations publiques - Divers;314;Musees;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6238;Publicite, publications, relations publiques - Divers;420;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6241;Transports de biens et transports collectifs - Transports de biens;325;Autres equipements sportifs ou de loisirs;Reel;11704.5
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6241;Transports de biens et transports collectifs - Transports de biens;844;Voirie metropolitaine;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6248;Transports de biens et transports collectifs - Divers;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6251;Deplacements et missions - Voyages, deplacements et missions;325;Autres equipements sportifs ou de loisirs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6251;Deplacements et missions - Voyages, deplacements et missions;515;Operations d amenagement;Reel;805.22
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6251;Deplacements et missions - Voyages, deplacements et missions;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6262;Frais postaux et de telecommunications - Frais de telecommunications;20;Administration generale de la collectivite;Reel;1885142.89
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6262;Frais postaux et de telecommunications - Frais de telecommunications;314;Musees;Reel;5430.24
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;627;Services bancaires et assimiles.;311;Activites artistiques, actions et manifestations culturelles;Reel;10.35
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;627;Services bancaires et assimiles.;314;Musees;Reel;1.11
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6281;Divers - Concours divers (cotisations...);32;Conseil economique et social regional ou Conseil de developpement;Reel;7750.14
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6281;Divers - Concours divers (cotisations...);50;Services communs;Reel;33533.74
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6281;Divers - Concours divers (cotisations...);734;Eaux pluviales;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6282;Divers - Frais de gardiennage;314;Musees;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6282;Divers - Frais de gardiennage;322;Stades;Reel;1693.77
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6283;Divers - Frais de nettoyage des locaux;321;Salles de sport, gymnases;Reel;1416.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6283;Divers - Frais de nettoyage des locaux;50;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;6284;Divers - Redevances pour services rendus;420;Services communs;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;62875;Divers - Aux communes membres du GFP;428;Autres interventions sociales;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;62878;Divers - A des tiers;428;Autres interventions sociales;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;62878;Divers - A des tiers;552;Aide au secteur locatif;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;62878;Divers - A des tiers;61;Interventions economiques transversales;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;63512;Impots, taxes et versements assimiles (administration des impots) - Taxes foncieres;311;Activites artistiques, actions et manifestations culturelles;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;63512;Impots, taxes et versements assimiles (administration des impots) - Taxes foncieres;552;Aide au secteur locatif;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;63512;Impots, taxes et versements assimiles (administration des impots) - Taxes foncieres;844;Voirie metropolitaine;Reel;808177.0
Budget principal TM;M57;Depense;Fonctionnement;11;Charges a  caractere general;637;Autres impots, taxes et versements assimiles (autres organismes);20;Administration generale de la collectivite;Reel;8504.64
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6217;Personnel exterieur au service - Personnel affecte par la commune membre du GFP;20;Administration generale de la collectivite;Reel;943114.34
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6217;Personnel exterieur au service - Personnel affecte par la commune membre du GFP;22;Information, communication, publicite;Reel;148871.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6217;Personnel exterieur au service - Personnel affecte par la commune membre du GFP;844;Voirie metropolitaine;Reel;1027387.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6331;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Versement de transport;30;Services communs;Reel;5932.14
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6331;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Versement de transport;70;Services communs;Reel;11985.51
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6331;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Versement de transport;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;383053.81
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6332;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations versees au F.N.A.L.;18;Autres interventions de protections des personnes et des biens;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6332;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations versees au F.N.A.L.;314;Musees;Reel;16534.2
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6332;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations versees au F.N.A.L.;511;Espaces verts urbains;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6332;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations versees au F.N.A.L.;70;Services communs;Reel;2996.52
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6332;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations versees au F.N.A.L.;731;Politique de l eau;Reel;263.85
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6332;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations versees au F.N.A.L.;821;Transport sur route;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6332;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations versees au F.N.A.L.;844;Voirie metropolitaine;Reel;35646.83
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;21;Personnel non ventile;Reel;6.73
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;25;Cimetieres et pompes funebres;Reel;18511.86
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;31;Assemblee deliberante;Reel;4464.71
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;314;Musees;Reel;29687.54
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;428;Autres interventions sociales;Reel;19348.42
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;510;Services communs;Reel;17578.36
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;52;Politique de la ville;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;61;Interventions economiques transversales;Reel;14943.68
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;172123.92
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;731;Politique de l eau;Reel;474.95
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6336;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Cotisations au CNFPT et au centre de gestion de la fonction publique territoriale;847;Equipements de voirie;Reel;20467.72
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;6338;Impots, taxes et versements assimiles sur remunerations (autres organismes) - Autres impots, taxes et versements assimiles sur remunerations;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64111;Remunerations du personnel - Remuneration principale;31;Assemblee deliberante;Reel;128622.22
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64111;Remunerations du personnel - Remuneration principale;318;Archeologie preventive;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64111;Remunerations du personnel - Remuneration principale;518;Autres actions d amenagement urbain;Reel;1007934.99
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64111;Remunerations du personnel - Remuneration principale;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64111;Remunerations du personnel - Remuneration principale;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;18425873.71
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64111;Remunerations du personnel - Remuneration principale;731;Politique de l eau;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64111;Remunerations du personnel - Remuneration principale;735;Lutte contre les inondations;Reel;186747.36
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64111;Remunerations du personnel - Remuneration principale;80;Services communs;Reel;1200040.72
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64112;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;22;Information, communication, publicite;Reel;15959.05
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64112;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;18;Autres interventions de protections des personnes et des biens;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64112;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;311;Activites artistiques, actions et manifestations culturelles;Reel;13340.2
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64112;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;428;Autres interventions sociales;Reel;32895.62
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64112;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;510;Services communs;Reel;22781.45
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64112;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;511;Espaces verts urbains;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64112;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;515;Operations d amenagement;Reel;23851.68
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64112;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;821;Transport sur route;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64113;Remunerations du personnel - NBI;25;Cimetieres et pompes funebres;Reel;8092.85
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64113;Remunerations du personnel - NBI;61;Interventions economiques transversales;Reel;4110.3
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64113;Remunerations du personnel - NBI;7222;Action en matiere de proprete urbaine et de nettoiement;Reel;89879.47
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64113;Remunerations du personnel - NBI;80;Services communs;Reel;8707.74
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64118;Remunerations du personnel - Autres indemnites.;22;Information, communication, publicite;Reel;350939.08
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64118;Remunerations du personnel - Autres indemnites.;32;Conseil economique et social regional ou Conseil de developpement;Reel;17223.93
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64118;Remunerations du personnel - Autres indemnites.;41;Actions relevant de la subvention globale;Reel;128868.54
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64118;Remunerations du personnel - Autres indemnites.;311;Activites artistiques, actions et manifestations culturelles;Reel;213990.66
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64118;Remunerations du personnel - Autres indemnites.;314;Musees;Reel;1021981.53
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64118;Remunerations du personnel - Autres indemnites.;518;Autres actions d amenagement urbain;Reel;431329.03
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64118;Remunerations du personnel - Autres indemnites.;844;Voirie metropolitaine;Reel;2899581.54
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;32;Conseil economique et social regional ou Conseil de developpement;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;41;Actions relevant de la subvention globale;Reel;35726.82
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;325;Autres equipements sportifs ou de loisirs;Reel;183446.9
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;50;Services communs;Reel;42290.33
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;70;Services communs;Reel;100513.41
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;7212;Collecte des dechets;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;7213;Tri, valorisation et traitement des dechets;Reel;10.74
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;80;Services communs;Reel;14644.66
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;821;Transport sur route;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64131;Remunerations du personnel - Remunerations;844;Voirie metropolitaine;Reel;264608.56
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64132;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;1;Operations non ventilables;Reel;0.0
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64132;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;25;Cimetieres et pompes funebres;Reel;890.98
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64132;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;314;Musees;Reel;524.92
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64132;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;325;Autres equipements sportifs ou de loisirs;Reel;585.4
Budget principal TM;M57;Depense;Fonctionnement;12;Charges de personnel et frais assimiles;64132;Remunerations du personnel - Supplement familial de traitement et indemnite de residence;515;Operations d amenagement;Reel;13.74
